pvd_id,state,install_month,pv_dc_kw,pv_ac_kw,battery_kwh,stc_count,stc_price,stc_value,battery_rebate,price_base,price_net,annual_generation_kwh,annual_savings_aud,payback_years_net
282709,ACT,2024-11,13.3,10.0,,128.0,35.0,4480.0,0.0,,,18620.0,2718.52,
282800,NSW,2024-02,10.38,8.0,,100.0,35.0,3500.0,0.0,,,14532.000000000002,2208.8640000000005,
283026,SA,2024-02,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
283031,NSW,2024-01,4.15,4.2,,40.0,35.0,1400.0,0.0,,,5810.000000000001,883.1200000000001,
283092,NSW,2023-08,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9296.0,1412.992,
283109,WA,2024-05,26.4,10.0,,255.0,35.0,8925.0,0.0,,,42240.0,5153.28,
283169,VIC,2024-02,19.95,15.0,9.6,165.0,35.0,5775.0,0.0,38855.625,33080.625,25935.0,5627.895,5.877974802301749
283368,VIC,2024-03,7.13,8.5,13.5,59.0,35.0,2065.0,0.0,26583.19875,24518.19875,9269.0,2011.373,12.189782178641156
283482,WA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
283754,VIC,2023-08,6.65,5.0,,63.0,35.0,2205.0,0.0,,,8645.0,1149.785,
283818,SA,2025-07,10.56,5.0,13.5,87.0,35.0,3045.0,2000.0,29483.699999999997,24438.699999999997,15840.0,4245.12,5.756892620232172
284038,WA,2024-08,11.21,10.0,,108.0,35.0,3780.0,0.0,,,17936.0,2188.192,
284049,VIC,2023-09,4.98,5.0,,47.0,35.0,1645.0,0.0,,,6474.000000000001,861.0420000000003,
284111,WA,2024-09,6.6,5.0,,63.0,35.0,2205.0,0.0,,,10560.0,1288.32,
284147,NSW,2024-02,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9240.0,1404.48,
284232,SA,2023-12,19.36,15.0,,214.0,35.0,7490.0,0.0,,,29040.0,4994.880000000001,
284237,SA,2024-05,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
284239,SA,2024-05,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
284241,SA,2024-09,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
284243,QLD,2023-08,13.28,10.0,,146.0,35.0,5110.0,0.0,,,19920.0,2768.88,
284309,SA,2024-05,7.92,5.0,4.79,76.0,35.0,2660.0,0.0,17281.05,14621.05,11880.0,3183.84,4.592269083873561
284397,NSW,2024-02,10.45,8.0,,101.0,35.0,3535.0,0.0,,,14629.999999999998,2223.7599999999998,
284403,SA,2024-07,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
284632,NSW,2024-12,19.36,15.0,,187.0,35.0,6545.0,0.0,,,27104.0,4119.808,
284686,NSW,2023-12,14.94,10.0,12.8,165.0,35.0,5775.0,0.0,35676.00149999999,29901.00149999999,20916.0,5187.168000000001,5.7644174046416055
284803,SA,2024-03,13.28,5.0,,128.0,35.0,4480.0,0.0,,,19920.0,3426.2400000000002,
284912,NSW,2023-12,6.6,5.0,,72.0,35.0,2520.0,0.0,,,9240.0,1404.48,
285142,NSW,2024-02,9.68,8.0,,93.0,35.0,3255.0,0.0,,,13552.0,2059.904,
285230,SA,2024-06,7.92,6.0,,76.0,35.0,2660.0,0.0,,,11880.0,2043.3600000000001,
285233,SA,2024-04,7.92,5.0,4.79,76.0,35.0,2660.0,0.0,17281.05,14621.05,11880.0,3183.84,4.592269083873561
285374,SA,2024-07,6.6,5.0,4.79,63.0,35.0,2205.0,0.0,15687.15,13482.15,9900.0,2653.2000000000003,5.0814676616915415
285376,SA,2024-07,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
285377,SA,2024-05,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
285379,SA,2024-03,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
285422,SA,2024-03,6.4,5.0,,61.0,35.0,2135.0,0.0,,,9600.0,1651.2,
285431,NSW,2023-12,11.44,10.0,,126.0,35.0,4410.0,0.0,,,16016.0,2434.4320000000002,
285443,NSW,2023-09,10.4,15.0,,114.0,35.0,3990.0,0.0,,,14560.0,2213.12,
285468,WA,2024-05,10.79,10.0,11.04,104.0,35.0,3640.0,0.0,28250.324999999997,24610.324999999997,17264.0,3763.5519999999997,6.539121818962512
285540,VIC,2023-09,6.64,5.0,,62.0,35.0,2170.0,0.0,,,8632.0,1148.056,
